feature,importance,std,rank
I_max_peak,0.05909,0.10537,1
Vb_sag,0.05637,0.12462,2
Ic_Ia_ratio,0.05491,0.10902,3
Ib_Ia_ratio,0.05333,0.12456,4
current_ratio,0.05276,0.10248,5
Ia_rms_flt,0.05214,0.11289,6
Va_sag,0.05006,0.11141,7
Vb_rms_flt,0.04893,0.10602,8
I_imbalance,0.0478,0.09922,9
sag_asymmetry,0.04478,0.10847,10
Vc_sag,0.0432,0.1025,11
Ic_rms_flt,0.04203,0.093,12
Ic_peak,0.04011,0.09203,13
Va_rms_flt,0.0375,0.09584,14
Ib_rms_flt,0.03722,0.09508,15
Ib_H3,0.03658,0.08813,16
Vc_rms_flt,0.0357,0.09561,17
harmonic_index,0.03042,0.08251,18
V_imbalance,0.03025,0.08198,19
Ib_H2,0.02834,0.08072,20
Ia_H3,0.02491,0.07482,21
Ia_peak,0.0248,0.07457,22
Va_thd,0.02047,0.06949,23
Ib_peak,0.01993,0.06754,24
Ia_thd,0.01993,0.06774,25
Va_H5,0.00487,0.03408,26
Va_H3,0.0026,0.02585,27
Ia_H2,0.00098,0.0098,28
fault_bus,0.0,0.0,29
V0_ratio,0.0,0.0,30
V2_ratio,0.0,0.0,31
Va_H2,0.0,0.0,32
Va_rms_pre,0.0,0.0,33
